CFP2017(Itr. 3 times & median taken)
Benchmark,llvm-intptr-base-5.0-release,llvm-intptr-br5.5-gvnnocast-release,Speedup,Slowdown(%)
507.cactuBSSN_r,240.90,239.17,1.01,-0.72
508.namd_r,211.95,212.19,1.00,0.11
510.parest_r,441.42,440.91,1.00,-0.12
511.povray_r,392.18,395.03,0.99,0.73
519.lbm_r,216.48,216.45,1.00,-0.01
521.wrf_r,700.60,700.76,1.00,0.02
526.blender_r,263.83,262.52,1.00,-0.50
527.cam4_r,398.72,398.75,1.00,0.01
538.imagick_r,445.07,446.70,1.00,0.37
544.nab_r,323.24,323.39,1.00,0.05
CINT2017(Itr. 3 times & median taken)
Benchmark,llvm-intptr-base-5.0-release,llvm-intptr-br5.5-gvnnocast-release,Speedup,Slowdown(%)
500.perlbench_r,326.65,323.76,1.01,-0.88
502.gcc_r,224.70,225.18,1.00,0.21
505.mcf_r,331.24,324.45,1.02,-2.05
520.omnetpp_r,391.36,393.02,1.00,0.42
523.xalancbmk_r,289.47,290.01,1.00,0.19
525.x264_r,242.47,242.60,1.00,0.05
531.deepsjeng_r,274.76,276.69,0.99,0.70
541.leela_r,460.31,459.79,1.00,-0.11
557.xz_r,332.76,334.99,0.99,0.67
