CFP2017(Itr. 3 times & median taken)
Benchmark,llvm-intptr-base-5.0-release,llvm-intptr-br2-correct2-release,Speedup,Slowdown(%)
507.cactuBSSN_r,240.90,239.54,1.01,-0.56
508.namd_r,211.95,211.82,1.00,-0.06
510.parest_r,441.42,440.23,1.00,-0.27
511.povray_r,392.18,394.10,1.00,0.49
519.lbm_r,216.48,216.42,1.00,-0.03
521.wrf_r,700.60,700.92,1.00,0.05
526.blender_r,263.83,262.91,1.00,-0.35
527.cam4_r,398.72,398.75,1.00,0.01
538.imagick_r,445.07,447.29,1.00,0.50
544.nab_r,323.24,323.21,1.00,-0.01
CINT2017(Itr. 3 times & median taken)
Benchmark,llvm-intptr-base-5.0-release,llvm-intptr-br2-correct2-release,Speedup,Slowdown(%)
500.perlbench_r,326.65,329.14,0.99,0.76
502.gcc_r,224.70,224.48,1.00,-0.10
505.mcf_r,331.24,331.05,1.00,-0.06
520.omnetpp_r,391.36,392.12,1.00,0.19
523.xalancbmk_r,289.47,288.47,1.00,-0.35
525.x264_r,242.47,242.81,1.00,0.14
531.deepsjeng_r,274.76,276.50,0.99,0.63
541.leela_r,460.31,461.61,1.00,0.28
557.xz_r,332.76,335.01,0.99,0.68
